frequency_mode,parameter_set,chem_tag,condition,base_condition,dc_c,ac_c,frequency_label,tau_factor_mj1_label,tau_ref_label_s,tau_ref_set_s,f_Hz,kappa,period_s,effective_tau_factor_set,tau_factor
fixed_mj1_label,ORegan2022,LG M50 NMC811-Si,ORegan2022_DC03_AC07_10tau,DC03_AC07_10tau,0.3,0.7,10tau,10.0,11.1,53.575426259434366,0.0014338283161432013,2.3333333333333335,697.4335690969341,2.071845391625857,
fixed_mj1_label,ORegan2022,LG M50 NMC811-Si,ORegan2022_DC03_AC07_f000412,DC03_AC07_f000412,0.3,0.7,f=0.000412Hz,34.80165815881557,11.1,53.575426259434366,0.000412,2.3333333333333335,2427.1844660194174,7.210365507728043,
set_tau_ref_rebased,Chen2020,LG M50 NMC811-Si,Chen2020_DC03,DC03,0.3,0.0,DC,,,36.316532231592305,,0.0,,,
set_tau_ref_rebased,Chen2020,LG M50 NMC811-Si,Chen2020_DC03_AC07_0p1tau,DC03_AC07_0p1tau,0.3,0.7,0p1tau,,,36.316532231592305,0.04382437785550572,2.3333333333333335,22.818350172525463,0.1,0.1
set_tau_ref_rebased,Chen2020,LG M50 NMC811-Si,Chen2020_DC03_AC07_1tau,DC03_AC07_1tau,0.3,0.7,1tau,,,36.316532231592305,0.004382437785550572,2.3333333333333335,228.18350172525462,1.0,1.0
set_tau_ref_rebased,Chen2020,LG M50 NMC811-Si,Chen2020_DC03_AC07_5tau,DC03_AC07_5tau,0.3,0.7,5tau,,,36.316532231592305,0.0008764875571101142,2.3333333333333335,1140.9175086262733,5.0,5.0
set_tau_ref_rebased,Chen2020,LG M50 NMC811-Si,Chen2020_DC03_AC07_10tau,DC03_AC07_10tau,0.3,0.7,10tau,,,36.316532231592305,0.0004382437785550571,2.3333333333333335,2281.8350172525465,10.0,10.0
set_tau_ref_rebased,Chen2020,LG M50 NMC811-Si,Chen2020_DC03_AC07_34p8tau_equiv,DC03_AC07_34p8tau_equiv,0.3,0.7,34p8tau_equiv,,,36.316532231592305,0.00012592612011621813,2.3333333333333335,7941.164224523814,34.80165815881557,34.80165815881557
set_tau_ref_rebased,Ecker2015,Kokam-Ecker Co-rich Mn-free,Ecker2015_DC03,DC03,0.3,0.0,DC,,,16.51765434839429,,0.0,,,
set_tau_ref_rebased,Ecker2015,Kokam-Ecker Co-rich Mn-free,Ecker2015_DC03_AC07_0p1tau,DC03_AC07_0p1tau,0.3,0.7,0p1tau,,,16.51765434839429,0.09635444581595029,2.3333333333333335,10.378348311090202,0.1,0.1
set_tau_ref_rebased,Ecker2015,Kokam-Ecker Co-rich Mn-free,Ecker2015_DC03_AC07_1tau,DC03_AC07_1tau,0.3,0.7,1tau,,,16.51765434839429,0.009635444581595029,2.3333333333333335,103.78348311090201,1.0,1.0
set_tau_ref_rebased,Ecker2015,Kokam-Ecker Co-rich Mn-free,Ecker2015_DC03_AC07_5tau,DC03_AC07_5tau,0.3,0.7,5tau,,,16.51765434839429,0.001927088916319006,2.3333333333333335,518.9174155545101,5.0,5.0
set_tau_ref_rebased,Ecker2015,Kokam-Ecker Co-rich Mn-free,Ecker2015_DC03_AC07_10tau,DC03_AC07_10tau,0.3,0.7,10tau,,,16.51765434839429,0.000963544458159503,2.3333333333333335,1037.8348311090201,10.0,10.0
set_tau_ref_rebased,Ecker2015,Kokam-Ecker Co-rich Mn-free,Ecker2015_DC03_AC07_34p8tau_equiv,DC03_AC07_34p8tau_equiv,0.3,0.7,34p8tau_equiv,,,16.51765434839429,0.00027686739918035444,2.3333333333333335,3611.837301756821,34.80165815881557,34.80165815881557
set_tau_ref_rebased,ORegan2022,LG M50 NMC811-Si,ORegan2022_DC03,DC03,0.3,0.0,DC,,,53.575426259434366,,0.0,,,
set_tau_ref_rebased,ORegan2022,LG M50 NMC811-Si,ORegan2022_DC03_AC07_0p1tau,DC03_AC07_0p1tau,0.3,0.7,0p1tau,,,53.575426259434366,0.029706705891839536,2.3333333333333335,33.66243310991614,0.1,0.1
set_tau_ref_rebased,ORegan2022,LG M50 NMC811-Si,ORegan2022_DC03_AC07_1tau,DC03_AC07_1tau,0.3,0.7,1tau,,,53.575426259434366,0.0029706705891839533,2.3333333333333335,336.6243310991614,1.0,1.0
set_tau_ref_rebased,ORegan2022,LG M50 NMC811-Si,ORegan2022_DC03_AC07_5tau,DC03_AC07_5tau,0.3,0.7,5tau,,,53.575426259434366,0.0005941341178367907,2.3333333333333335,1683.1216554958069,5.0,5.0
set_tau_ref_rebased,ORegan2022,LG M50 NMC811-Si,ORegan2022_DC03_AC07_10tau,DC03_AC07_10tau,0.3,0.7,10tau,,,53.575426259434366,0.00029706705891839537,2.3333333333333335,3366.2433109916137,10.0,10.0
set_tau_ref_rebased,ORegan2022,LG M50 NMC811-Si,ORegan2022_DC03_AC07_34p8tau_equiv,DC03_AC07_34p8tau_equiv,0.3,0.7,34p8tau_equiv,,,53.575426259434366,8.536003013498528e-05,2.3333333333333335,11715.084898852963,34.80165815881557,34.80165815881557
